_corrupt_record,cast,country,date_added,description,director,duration,listed_in,rating,release_year,show_id,title,type
,"Lizzy Caplan, Jessica Lucas, T.J. Miller, Michael Stahl-David, Mike Vogel, Odette Annable, Anjul Nigam, Margot Farley, Theo Rossi, Brian Klugman",United States,"January 1, 2020",A going-away party in Manhattan is interrupted when a mysterious monster of epic proportions launches an attack on New York City.,Matt Reeves,85 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",PG-13,2008,s1429,Cloverfield,Movie
,"Samuel L. Jackson, Rob Brown, Robert Ri'chard, Rick Gonzalez, Nana Gbewonyo, Antwon Tanner, Channing Tatum, Ashanti, Texas Battle, Denise Dowse, Debbi Morgan","United States, Germany","January 1, 2020",Controversial basketball coach Ken Carter puts school before sports and benches his undefeated high school team for poor academic performance.,Thomas Carter,137 min,"Dramas, Sports Movies",PG-13,2005,s1439,Coach Carter,Movie
,"Cedric the Entertainer, Lucy Liu, Nicollette Sheridan, Mark Dacascos, Callum Keith Rennie, DeRay Davis, Niecy Nash, Will Patton",United States,"November 1, 2019",A mild-mannered janitor duped into believing he's an undercover agent stumbles into an international arms ring plot involving the CIA and the FBI.,Les Mayfield,91 min,"Action & Adventure, Comedies",PG-13,2007,s1450,Code Name: The Cleaner,Movie
,Timothy Ware-Hill,United States,"December 28, 2020",Animation and activism unite in this multimedia spoken-word response to police brutality and racial injustice.,"Arnon Manor, Timothy Ware-Hill",8 min,Dramas,PG-13,2020,s1502,Cops and Robbers,Movie
,"Chow Yun Fat, Michelle Yeoh, Zhang Ziyi, Chang Chen, Lung Hsiung, Cheng Pei-pei, Fa Zeng Li, Xian Gao, Yan Hai, De Ming Wang","Taiwan, Hong Kong, United States, China","March 1, 2019",A young woman in ancient China longs for an adventurous life rather than a dull arranged marriage in Ang Lee's Oscar-winning martial arts epic.,Ang Lee,120 min,"Action & Adventure, International Movies, Romantic Movies",PG-13,2000,s1547,"Crouching Tiger, Hidden Dragon",Movie
,"Michelle Yeoh, Donnie Yen, Harry Shum Jr., Natasha Liu Bordizzo, Jason Scott Lee, Eugenia Yuan, Roger Yuan, Juju Chan, Chris Pang, Woon Young Park, Darryl Quon","China, United States","February 26, 2016",Renowned warrior Yu Shu-Lien comes out of retirement to keep the legendary Green Destiny sword away from villainous warlord Hades Dai.,Yuen Wo-Ping,101 min,"Action & Adventure, Romantic Movies",PG-13,2016,s1548,"Crouching Tiger, Hidden Dragon: Sword of Destiny",Movie
,"Pierce Brosnan, Linda Hamilton, Elizabeth Hoffman, Jamie Renée Smith, Jeremy Foley, Charles Hallahan, Grant Heslov, Kirk Trutner, Arabella Field, Tzi Ma",United States,"September 1, 2019","When a volcanologist comes to investigate the recent rumblings of a dormant volcano, a massive eruption has everyone in town fighting for their lives.",Roger Donaldson,108 min,Action & Adventure,PG-13,1997,s1605,Dante's Peak,Movie
,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",United States,"June 22, 2020",A couple has trouble convincing friends and neighbors that an alien is entering their house each night to terrorize their children.,Scott Stewart,97 min,"Horror Movies, Sci-Fi & Fantasy",PG-13,2013,s1619,Dark Skies,Movie
,"Demetri Martin, Kevin Kline, Gillian Jacobs, Rory Scovel, Ginger Gonzaga, Reid Scott, Mary Steenburgen, Briga Heelan, Christine Woods, Peter Scolari",United States,"March 15, 2020","As his father takes steps to move on, a New Yorker grieving his mom's death visits Los Angeles where new possibilities may bring him out of his funk.",Demetri Martin,94 min,"Comedies, Dramas, Independent Movies",PG-13,2016,s1661,Dean,Movie
,"",United States,"October 2, 2020","As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",Kirsten Johnson,90 min,Documentaries,PG-13,2020,s1751,Dick Johnson Is Dead,Movie
,"Pierce Brosnan, Halle Berry, Toby Stephens, Rick Yune, Rosamund Pike, Judi Dench, John Cleese, Michael Madsen, Will Yun Lee, Kenneth Tsang, Emilio Echevarría, Mikhail Gorevoy, Lawrence Makoare, Colin Salmon, Samantha Bond","United Kingdom, United States","December 31, 2019",Pierce Brosnan's final outing as 007 finds James Bond facing off against a North Korean terrorist who's in league with a British diamond merchant.,Lee Tamahori,133 min,Action & Adventure,PG-13,2002,s1752,Die Another Day,Movie
,"Steve Carell, Paul Rudd, Zach Galifianakis, Jemaine Clement, Jeff Dunham, Bruce Greenwood, Ron Livingston, Chris O'Dowd, Lucy Punch, Stephanie Szostak, David Walliams, Larry Wilmore",United States,"January 1, 2020",The host of a dinner party invites his friends to bring the saddest loser they can find. But the ultimate schmuck turns everyone else into the losers.,Jay Roach,115 min,Comedies,PG-13,2010,s1767,Dinner for Schmucks,Movie
,"Omar Sharif, Julie Christie, Geraldine Chaplin, Rod Steiger, Alec Guinness, Tom Courtenay, Siobhan McKenna, Ralph Richardson, Jeffrey Rockland","United States, Italy, United Kingdom, Liechtenstein","November 1, 2019",A young physician and his beautiful mistress get swept up in the danger and drama of the Bolshevik Revolution in this Oscar-winning epic.,David Lean,200 min,"Classic Movies, Dramas, Romantic Movies",PG-13,1965,s1794,Doctor Zhivago,Movie
,"Sam Rockwell, Amy Ryan, Will Forte, Danny McBride, Jemaine Clement, Leslie Bibb, Steve Park, Sky Elobar, P.J. Boudousqué, Yaniv Moyal",United States,"March 1, 2020","A questionable character working as a self-styled \"biblical archaeologist\" advances his cause by creating phony religious artifacts.",Jared Hess,96 min,Comedies,PG-13,2015,s1811,Don Verdean,Movie
,"Meryl Streep, Philip Seymour Hoffman, Amy Adams, Viola Davis, Alice Drummond, Audrie Neenan, Susan Blommaert, Carrie Preston, Lydia Jordan, Lloyd Clay Brown",United States,"March 7, 2019","Sister Aloysius begins to have doubts about doting Father Flynn, who seems to have become overly involved in the life of an African American pupil.",John Patrick Shanley,104 min,"Dramas, Faith & Spirituality",PG-13,2008,s1837,Doubt,Movie
,"Milan Maric, Danila Kozlovsky, Helena Sujecka, Artur Beschastny, Anton Shagin, Svetlana Khodchenkova, Elena Lyadova, Piotr Gasowski, Eva Gerr, Hanna Sleszynska","Russia, Poland, Serbia","October 26, 2018","Over six days in 1971, brilliant writer Sergei Dovlatov encounters maddening barriers to publishing his work under the repressive Soviet regime.",Aleksey German,126 min,"Dramas, International Movies",PG-13,2018,s1838,Dovlatov,Movie
,"Sean Connery, Dennis Quaid, David Thewlis, Pete Postlethwaite, Dina Meyer, Jason Isaacs, Brian Thompson, Julie Christie",United States,"January 1, 2020","In ancient times when majestic fire-breathers soared through the skies, a knight comes face to face and heart to heart with the last dragon on Earth.",Rob Cohen,103 min,"Action & Adventure, Sci-Fi & Fantasy",PG-13,1996,s1850,Dragonheart,Movie
,"Julian Morris, Tamzin Merchant, Ben Kingsley, Jassa Ahluwalia, Jonjo O'Neill, Dominic Mafham, Roger Ashton-Griffiths, Jake Curran, Duncan Preston, Ozama Oancea",United States,"January 1, 2020","When an aspiring knight crosses paths with a dragon, the two form an unlikely alliance in a high-stakes battle against a malicious sorcerer.",Colin Teague,97 min,"Action & Adventure, Sci-Fi & Fantasy",PG-13,2015,s1851,Dragonheart 3: The Sorcerer,Movie
,"Tom Rhys Harries, Jessamine-Bliss Bell, Patrick Stewart, André Eriksen, Richard Cordery, Martin Hutson, Turlough Convery, Delroy Brown, Tamzin Merchant",United States,"June 13, 2017","When the king of Brittania dies, the dragon who shares his heart must find a new ruler, but the monarch's grandchildren go to war over the throne.",Patrik Syversen,98 min,"Action & Adventure, Sci-Fi & Fantasy",PG-13,2017,s1853,Dragonheart: Battle for the Heartfire,Movie
,"Joseph Millson, Jack Kane, Helena Bonham Carter, Arturo Muselli, Carolina Carlsson, Tam Williams, Richard Ashton, Ross O'Hennessy, Cameron Jack, Fabienne Piolini-Castle",United States,"February 4, 2020","When his family is slain by vicious savages, a young farmer teams with an ice-breathing dragon and sword-wielding mercenary to avenge their deaths.",Ivan Silvestrini,97 min,"Action & Adventure, Sci-Fi & Fantasy",PG-13,2020,s1854,Dragonheart: Vengeance,Movie
,"Eric Christian Olsen, Derek Richardson, Rachel Nichols, Cheri Oteri, Luis Guzmán, Elden Henson, William Lee Scott, Mimi Rogers, Eugene Levy",United States,"October 1, 2019",This wacky prequel to the 1994 blockbuster goes back to the lame-brained title characters' days as classmates at a Rhode Island high school.,Troy Miller,85 min,Comedies,PG-13,2003,s1894,Dumb and Dumberer: When Harry Met Lloyd,Movie
,"Danielle Macdonald, Jennifer Aniston, Odeya Rush, Maddie Baillio, Bex Taylor-Klaus, Luke Benward, Georgie Flores, Dove Cameron, Harold Perrineau, Kathy Najimy, Ginger Minj, Hilliary Begley",United States,"December 7, 2018","To prove a point about measuring up and fitting in, Texas teen Willowdean Dickson enters a local pageant run by her ex-beauty queen mom.",Anne Fletcher,110 min,"Comedies, Dramas, Independent Movies",PG-13,2018,s1895,Dumplin',Movie
,"Emma Stone, Penn Badgley, Amanda Bynes, Dan Byrd, Thomas Haden Church, Patricia Clarkson, Cam Gigandet, Lisa Kudrow, Malcolm McDowell, Aly Michalka",United States,"November 1, 2020","When a lie about Olive's reputation transforms her from anonymous to infamous at her high school, she decides to embrace a provocative new persona.",Will Gluck,92 min,"Comedies, Romantic Movies",PG-13,2010,s1913,Easy A,Movie
,"Julia Roberts, James Franco, Javier Bardem, Richard Jenkins, Viola Davis, Billy Crudup, Hadi Subiyanto, Mike O'Malley, Tuva Novotny, Luca Argentero",United States,"September 10, 2019","After deciding to reshape her life after divorce, Liz travels around the world in search of good food, spirituality and true love.",Ryan Murphy,140 min,"Dramas, Romantic Movies",PG-13,2010,s1915,Eat Pray Love,Movie
,"Jakob Dylan, Ringo Starr, Michelle Phillips, Stephen Stills, Regina Spektor, Beck, Eric Clapton, Tom Petty, Jackson Browne, Norah Jones",United States,"October 24, 2019","An affectionate documentary looks back at the mid-1960s, when Hollywood’s Laurel Canyon was a creative nexus for young, innovative musicians.",Andrew Slater,82 min,"Documentaries, Music & Musicals",PG-13,2019,s1917,Echo in the Canyon,Movie
,"Dakota Fanning, Emma Thompson, Julie Walters, David Suchet, Derek Jacobi, James Fox, Robbie Coltrane, Claudia Cardinale, Greg Wise, Tom Sturridge",United Kingdom,"December 1, 2020","Trapped in a loveless marriage, the young wife of Victorian-era art critic John Ruskin finds herself falling for an artist — and looking for a way out.",Richard Laxton,109 min,"Dramas, International Movies, Romantic Movies",PG-13,2014,s1931,Effie Gray,Movie
,"Dane Cook, Jessica Simpson, Dax Shepard, Andy Dick, Tim Bagley, Brian George, Efren Ramirez, Marcello Thedford, Danny Woodburn, Harland Williams",United States,"October 1, 2020",Warehouse workers Vince and Zack compete in a full-on war to be named Employee of the Month and win a date with their dream girl.,Greg Coolidge,108 min,"Comedies, Romantic Movies",PG-13,2006,s1998,Employee of the Month,Movie
,"Millie Bobby Brown, Henry Cavill, Sam Claflin, Helena Bonham Carter, Louis Partridge, Burn Gorman, Adeel Akhtar, Susan Wokoma, Frances de la Tour, Fiona Shaw",United Kingdom,"September 23, 2020","While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",Harry Bradbeer,124 min,"Action & Adventure, Children & Family Movies, Dramas",PG-13,2020,s2010,Enola Holmes,Movie
,"Jeff Daniels, Jack O'Connell, Michelle Dockery, Scoot McNairy, Merritt Wever, Thomas Brodie-Sangster, Francis Ng, Ni Ni","France, Canada, China, Cambodia","August 5, 2017","An avid gamer is magically transported to ancient China, where he must become a warrior in order to save the princess from an evil warlord.",Matthias Hoene,105 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy",PG-13,2016,s2015,Enter the Warriors Gate,Movie
,"Nicholas Hoult, Kristen Stewart, Jacki Weaver, Guy Pearce, Rebecca Hazlewood, Scott Lawrence, Kai Lennox, Rizwan Manji","United States, Indonesia","October 28, 2018",Two young lovers depart from the norm simply by having romantic feelings for each other in a society where humans have been relieved of all emotions.,Drake Doremus,102 min,"Dramas, Romantic Movies, Sci-Fi & Fantasy",PG-13,2015,s2017,Equals,Movie
,"Will Ferrell, Rachel McAdams, Dan Stevens, Melissanthi Mahut, Mikael Persbrandt, Ólafur Darri Ólafsson, Graham Norton, Demi Lovato, Pierce Brosnan",United States,"June 26, 2020","Two small-town singers chase their pop star dreams at a global music competition, where high stakes, scheming rivals and onstage mishaps test their bond.",David Dobkin,124 min,"Comedies, Music & Musicals, Romantic Movies",PG-13,2020,s2037,Eurovision Song Contest: The Story of Fire Saga,Movie
,"David Duchovny, Julianne Moore, Orlando Jones, Seann William Scott, Ted Levine, Ethan Suplee, Michael Bower, Pat Kilbane, Ty Burrell, Dan Aykroyd",United States,"November 20, 2019","After two community college geology professors discover microscopic alien life-forms on a meteorite, the military and government become involved.",Ivan Reitman,102 min,"Comedies, Sci-Fi & Fantasy",PG-13,2001,s2054,Evolution,Movie
,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey, Cindy Pickett, Lyman Ward, Edie McClurg, Charlie Sheen, Kristy Swanson, Ben Stein, Del Close",United States,"January 3, 2020","Ferris convinces his entire school he's at death's door, then hits the streets of Chicago with his girlfriend and best friend for a day of fun.",John Hughes,103 min,"Classic Movies, Comedies, Cult Movies",PG-13,1986,s2151,Ferris Bueller's Day Off,Movie
,"Daniel Mays, James Purefoy, David Hayman, Dave Johns, Sam Swainsbury, Tuppence Middleton, Noel Clarke, Maggie Steed, Vahid Gold, Christian Brassington",United Kingdom,"October 22, 2020","Sea shanties have long united 10 Cornish fishermen, but when their chants sail to the music charts, their friendship is kept at bay.",Chris Foggin,112 min,"Comedies, Dramas, Music & Musicals",PG-13,2019,s2190,Fisherman's Friends,Movie
,"Greg Kinnear, Lauren Graham, Dermot Mulroney, Alan Alda, Bill Smitrovich, Mitch Pileggi, Daniel Roebuck, Tim Kelleher, Aaron Abrams, Chuck Shamata, Andrew Gillies","Canada, United States","January 16, 2017",A college professor goes up against the giants of the auto industry when they fail to give him credit for inventing intermittent windshield wipers.,Marc Abraham,119 min,Dramas,PG-13,2008,s2203,Flash of Genius,Movie
,"Vince Vaughn, Reese Witherspoon, Robert Duvall, Sissy Spacek, Jon Voight, Jon Favreau, Mary Steenburgen, Dwight Yoakam, Tim McGraw, Kristin Chenoweth","Germany, United States","January 1, 2021",A dating couple is forced to spend their first Christmas together visiting each of their four divorced parents – in a single day.,Seth Gordon,88 min,"Comedies, Romantic Movies",PG-13,2008,s2249,Four Christmases,Movie
,"",United States,"October 1, 2017","New-generation bodybuilding stars – including Rich Piana, Kai Greene and Calum von Moger – share their experiences competing in the demanding sport.",Vlad Yudin,107 min,"Documentaries, Sports Movies",PG-13,2017,s2371,Generation Iron 2,Movie
,"Steve Carell, Anne Hathaway, Dwayne Johnson, Alan Arkin, Terence Stamp, Terry Crews, David Koechner, James Caan, Masi Oka, Nate Torrence, Bill Murray",United States,"April 1, 2019","When the identities of secret agents are compromised, hapless Maxwell Smart teams with far more capable Agent 99 to thwart an evil terrorist group.",Peter Segal,110 min,"Action & Adventure, Comedies",PG-13,2008,s2389,Get Smart,Movie
,"Carmen Electra, Stacey Dash, Vivica A. Fox, Bill Bellamy, Kathy Najimy, Joe Torry, Dorian Gregory, Mindy Sterling, Joseph C. Phillips, Larry B. Scott, Michael Jai White, Sheryl Underwood, Earthquake",United States,"November 1, 2019","Tired of dealing with boyfriends who wrong them, gal pals Lauren, Emily and Andrea decide to turn the tables and become the players themselves.",David Silberg,85 min,"Comedies, Romantic Movies",PG-13,2005,s2391,Getting Played,Movie
,"Nicolas Cage, Eva Mendes, Wes Bentley, Sam Elliott, Donal Logue, Matt Long, Peter Fonda, Brett Cullen, Raquel Alessi, Laurence Breuls","United States, Australia","October 1, 2020","After selling his soul to save a loved one, daredevil biker Johnny Blaze pays the price by becoming a flame-skulled bounty hunter for Mephistopheles.",Mark Steven Johnson,110 min,"Action & Adventure, Sci-Fi & Fantasy",PG-13,2007,s2400,Ghost Rider,Movie
,"Vanessa Hudgens, James Earl Jones, Rosario Dawson, Ann Dowd, Stephanie Szostak, Emily Meade, Brendan Fraser, Dascha Polanco",United States,"January 1, 2021","After running away from her abusive mother, a streetwise teen seeks refuge with her father, but he rejects her when he learns that she's pregnant.",Ron Krauss,101 min,"Dramas, Independent Movies",PG-13,2013,s2414,Gimme Shelter,Movie
,"Elle Fanning, Alessandro Nivola, Christina Hendricks, Alice Englert, Timothy Spall, Oliver Platt, Annette Bening, Jodhi May, Oliver Milburn, Andrew Hawley","United Kingdom, Denmark, Canada, Croatia","July 15, 2018","With the Cold War looming over them, teen best pals Ginger and Rosa share everything in early 1960s London – until betrayal drives them apart.",Sally Potter,90 min,"Dramas, Independent Movies",PG-13,2012,s2418,Ginger & Rosa,Movie
,"Viola Davis, Denzel Washington, Stephen Henderson, Freedom Martin, Nia Sarfo, Cody Merridith, Gerardo Navarro, Aaron Guy, Callie Holley",United States,"December 11, 2020","Six ambitious student actors audition for the prestigious August Wilson Monologue Competition, culminating in a riveting final round on Broadway.","James D. Stern, Fernando Villena",91 min,Documentaries,PG-13,2020,s2435,Giving Voice,Movie
,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker, Judi Dench, Robbie Coltrane, Gottfried John, Alan Cumming, Tchéky Karyo, Desmond Llewelyn, Samantha Bond, Michael Kitchen, Serena Gordon, Simon Kunz","United Kingdom, United States","December 31, 2019","Pierce Brosnan takes his first turn as debonair secret agent James Bond, who investigates the destruction of a Russian satellite weapons base.",Martin Campbell,130 min,Action & Adventure,PG-13,1995,s2466,GoldenEye,Movie
,"Chris Rock, Nia Long, Maya Angelou, Ice-T, Eve, Meagan Good, Al Sharpton, KRS-One, Raven-Symoné",United States,"January 1, 2021",Chris Rock hops around the world going from beauty salons to science labs to comb through the mystery of Black hair.,Jeff Stilson,96 min,Documentaries,PG-13,2009,s2480,Good Hair,Movie
,"Danny Trejo, Reno Wilson, Margaret Avery, Barry Bostwick, Julia Duffy, Anthony Gonzalez, Linda Gray, James Hong, Hal Linden, Alec Mapa",United States,"December 25, 2019",A frustrated novelist with money problems opens an unsanctioned senior center at his house to make quick cash and occupy his cumbersome father-in-law.,Ron Oliver,96 min,"Children & Family Movies, Comedies",PG-13,2019,s2517,Grand-Daddy Day Care,Movie
,"Josh Brolin, George Clooney, Scarlett Johansson, Alden Ehrenreich, Ralph Fiennes, Tilda Swinton, Channing Tatum, Frances McDormand, Jonah Hill, Veronica Osorio, Heather Goldenhersh, Alison Pill","United States, United Kingdom, Japan","April 16, 2020","When a major star is kidnapped from a movie set, a hard-charging but overwhelmed studio boss sets out to find the actor and save the film.","Ethan Coen, Joel Coen",106 min,Comedies,PG-13,2016,s2578,"Hail, Caesar!",Movie
,"Andy McAvin, James Faulkner, Luci Christian, John Swasey","United States, Japan","May 1, 2017","This anthology features seven independent anime shorts from renowned directors, delving into the futuristic universe of the video game franchise Halo.","Shinji Aramaki, Mamoru Oshii, Hideki Futamura, Toshiyuki Kanno, Tomoki Kyoda, Koichi Mashimo, Yasushi Muraki, Daisuke Nishio, Frank O'Connor, Koji Sawai, Joseph Chou, Hiroshi Yamazaki",117 min,"Action & Adventure, Anime Features, Sci-Fi & Fantasy",PG-13,2009,s2586,HALO Legends,Movie
,"Adriano Tardiolo, Agnese Graziani, Alba Rohrwacher, Luca Chikovani, Tommaso Ragno, Sergi López, Natalino Balasso, Carlo Tarmati, Pasqualina Scuncia, Nicoletta Braschi","Italy, Switzerland, France, Germany","November 30, 2018","Purehearted teen Lazzaro is content living as a sharecropper in rural Italy, but an unlikely friendship with the marquise's son will change his world.",Alice Rohrwacher,127 min,"Dramas, Independent Movies, International Movies",PG-13,2018,s2610,Happy as Lazzaro,Movie
,Malala Yousafzai,"United States, United Arab Emirates","June 1, 2018","This documentary tells the story of a teenage Pakistani girl shot for her advocacy of women's education, her survival, and her continued efforts.",Davis Guggenheim,89 min,Documentaries,PG-13,2015,s2667,He Named Me Malala,Movie
,"Sigourney Weaver, Jennifer Love Hewitt, Ray Liotta, Jason Lee, Gene Hackman, Anne Bancroft, Jeffrey Jones, Nora Dunn, Ricky Jay, Zach Galifianakis",United States,"December 31, 2019","In this stylish comedy, a mother-daughter con team makes money the old-fashioned way: They use their feminine wiles to swindle it.",David Mirkin,124 min,"Comedies, Romantic Movies",PG-13,2001,s2678,Heartbreakers,Movie
,"Ron Perlman, John Hurt, Selma Blair, Rupert Evans, Karel Roden, Jeffrey Tambor, Doug Jones, Brian Steele, Ladislav Beran, Biddy Hodson, Corey Johnson, Kevin Trainor",United States,"December 1, 2018","This fast-paced action flick tells the dark story of Hellboy, a charismatic demon who's put on Earth by the Nazis to terrorize the rest of the world.",Guillermo del Toro,122 min,"Action & Adventure, Cult Movies, Sci-Fi & Fantasy",PG-13,2004,s2692,Hellboy,Movie
,"Will Smith, Eva Mendes, Kevin James, Amber Valletta, Julie Ann Emery, Adam Arkin, Robinne Lee, Nathan Lee Graham, Michael Rapaport, Jeffrey Donovan",United States,"January 1, 2020","Smooth and sexy Hitch helps clients make a great first impression on a date, but he's thrown when a lovely reporter starts nosing around his business.",Andy Tennant,118 min,"Comedies, Romantic Movies",PG-13,2005,s2757,Hitch,Movie
,"Kat Graham, Mario Lopez, Audrina Patridge, Seychelle Gabriel, Randy Wayne, Brandon Molale, Melissa Molinaro, Jossara Jinaro, Lonette McKee, Laurieann Gibson, Christopher Shazar",United States,"October 1, 2019","Determined to prove herself as a street dancer, Maria heads from juvie to a Bronx rec center where she's introduced to her dance idol, Honey Daniels.",Bille Woodruff,111 min,"Dramas, Romantic Movies",PG-13,2011,s2794,Honey 2,Movie
,"Teyana Taylor, Sierra Aylina McClain, Bryshere Gray",United States,"April 3, 2018","Despite discouragement from her loved ones, a talented street dancer tries out for an exclusive dance crew in a bid to win a college scholarship.",Bille Woodruff,100 min,Dramas,PG-13,2018,s2795,Honey: Rise Up and Dance,Movie
,"Andy Samberg, Jorma Taccone, Bill Hader, Danny McBride, Isla Fisher, Sissy Spacek, Ian McShane, Will Arnett, Chris Parnell, Chester Tam",United States,"November 20, 2019",Andy Samberg stars in this comedy as an accident-prone daredevil who's determined to jump 15 buses on his moped and impress his abusive stepfather.,Akiva Schaffer,88 min,"Comedies, Sports Movies",PG-13,2007,s2824,Hot Rod,Movie
,"Gil Bellows, Max Thieriot, Jennifer Lawrence, Elisabeth Shue, Jordan Hayes, James Thomas, Eva Link, Nolan Gerard Funk, Allie MacDonald, Krista Bridges","United States, Canada","May 8, 2020",Moving to a new town proves even more stressful for a teenager when she learns that the house next door was the site of a double murder.,Mark Tonderai,101 min,"Horror Movies, Thrillers",PG-13,2012,s2832,House at the End of the Street,Movie
,"Eugenio Derbez, Salma Hayek, Rob Lowe, Raphael Alejandro, Kristen Bell, Raquel Welch, Linda Lavin, Renée Taylor, Rob Riggle, Rob Corddry, Rob Huebel, Michael Cera, Michaela Watkins","Mexico, United States","November 1, 2019","When an aging Lothario gets the boot from his sugar mama, he must pull out all the stops to find a new female sponsor.",Ken Marino,116 min,Comedies,PG-13,2017,s2841,How to Be a Latin Lover,Movie
,"Winona Ryder, Anne Bancroft, Ellen Burstyn, Kate Nelligan, Alfre Woodard, Kaelynn Craddick, Sara Craddick, Kate Capshaw, Dermot Mulroney, Adam Baldwin, Maya Angelou, Rip Torn, Joanna Going, Claire Danes, Jean Simmons, Denis Arndt, Johnathon Schaech, Samantha Mathis, Derrick O'Connor, Jared Leto",United States,"April 1, 2018","A conflicted young woman spends the summer with her grandmother, her great-aunt and their quilting circle, whose life stories captivate her.",Jocelyn Moorhouse,116 min,"Dramas, Romantic Movies",PG-13,1995,s2848,How to Make an American Quilt,Movie
,"Adam Sandler, Kevin James, Julie Bowen, Ray Liotta, Steve Buscemi, Maya Rudolph, Rob Schneider, June Squibb, Kenan Thompson, Tim Meadows, Michael Chiklis, Karan Brar, George Wallace, Paris Berelc, Noah Schnapp, China Anne McClain, Colin Quinn, Kym Whitley, Lavell Crawford, Mikey Day, Jackie Sandler, Sadie Sandler, Sunny Sandler",United States,"October 7, 2020","Hubie's not the most popular guy in Salem, Mass., but when Halloween turns truly spooky, this good-hearted scaredy-cat sets out to keep his town safe.",Steve Brill,104 min,"Comedies, Horror Movies",PG-13,2020,s2856,Hubie Halloween,Movie
,"Fred Tatasciore, Matthew Wolf, Graham McTavish, Grey DeLisle, Kari Wahlgren, Bryce Johnson, Janyse Jaud, Jay Brazeau, Jonathan Holmes, Paul Dobson, Michael Adamthwaite, French Tickner, Nicole Oliver, Qayam Devji, Steve Blum, Mark Acheson, Colin Murdock, Nolan North, Tom Kane",United States,"June 1, 2020",This action-packed animated double feature pits the Hulk against two of the Marvel Universe's most powerful characters: Wolverine and Thor.,"Sam Liu, Frank Paur",83 min,"Action & Adventure, Sci-Fi & Fantasy",PG-13,2009,s2859,Hulk Vs.,Movie
,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House, Tioreore Ngatai-Melbourne, Oscar Kightley, Stan Walker, Mike Minogue, Cohen Holloway, Rhys Darby",New Zealand,"October 1, 2020",A misadventure in the wilderness leads to life-changing discoveries for a troubled orphan teen from the city and his belligerent foster father.,Taika Waititi,101 min,"Action & Adventure, Comedies, Dramas",PG-13,2016,s2867,Hunt for the Wilderpeople,Movie
,"Samuel L. Jackson, Joey Starr","Switzerland, France, Belgium, United States","July 3, 2020","Based on James Baldwin's unfinished book, this visual essay explores racism through the stories of Medgar Evers, Malcolm X and Martin Luther King Jr.",Raoul Peck,94 min,Documentaries,PG-13,2017,s2901,I Am Not Your Negro,Movie
,"Sarah Jessica Parker, Pierce Brosnan, Greg Kinnear, Christina Hendricks, Kelsey Grammer, Seth Meyers, Olivia Munn, Jane Curtin, Mark Blum, Busy Philipps, Sarah Shahi, Jessica Szohr",United States,"March 23, 2019","In this affable yuppie comedy, Kate Reddy is a successful executive, wife and mom whose personal and professional lives hang in precarious balance.",Douglas McGrath,89 min,Comedies,PG-13,2011,s2910,I Don't Know How She Does It,Movie
,"Blythe Danner, Martin Starr, June Squibb, Rhea Perlman, Mary Kay Place, Malin Akerman, Sam Elliott, Aarti Mann, Mark Adair-Rios, Ashley Spillers",United States,"October 22, 2019","After the passing of her dog, a long-widowed senior citizen is in need of companionship. Two very different possibilities present themselves.",Brett Haley,96 min,"Comedies, Dramas, Independent Movies",PG-13,2015,s2921,I'll See You in My Dreams,Movie
,"Mandy Moore, Claire Holt, Matthew Modine, Chris Johnson, Yani Gellman, Santiago Segura","United Kingdom, United States, Dominican Republic","January 10, 2018","With little oxygen left in their scuba tanks, two sisters are trapped in a shark cage at the bottom of the ocean while great whites circle nearby.",Johannes Roberts,89 min,"Horror Movies, International Movies, Thrillers",PG-13,2017,s2973,In The Deep,Movie
,"Non, Yoshimasa Hosoya, Natsuki Inaba, Minori Omi, Daisuke Ono, Megumi Han, Nanase Iwai, Shigeru Ushiyama, Mayumi Shintani",Japan,"March 15, 2018","Suzu marries into a family living outside of Hiroshima and quickly settles into her new life, until World War II challenges her ability to survive.",Sunao Katabuchi,129 min,"Anime Features, Children & Family Movies, International Movies",PG-13,2016,s2977,In This Corner of the World,Movie
,"Aaron Eckhart, Carice van Houten, Catalina Sandino Moreno, David Mazouz, Keir O'Donnell, Matt Nable, Emily Jackson, Paul Vincent O'Connor, Natalija Nogulich, John Pirruccello, Mark Steger, Emjay Anthony, Karolina Wydra",United States,"December 16, 2020",An unconventional demon hunter faces his greatest challenge when he steps inside the subconscious mind of a boy possessed by a powerful entity.,Brad Peyton,87 min,"Horror Movies, Thrillers",PG-13,2016,s2979,Incarnate,Movie
